	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Butyricimonas	g__Caloramator	g__Campylobacter	g__Catenibacterium	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Desulfovibrio	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Fusobacterium	g__Haemophilus	g__Jonquetella	g__Lachnobacterium	g__Lachnospira	g__Lactobacillus	g__Megamonas	g__Megasphaera	g__Methylobacterium	g__Micrococcus	g__Mobiluncus	g__Neisseria	g__Odoribacter	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Peptoniphilus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Shewanella	g__SMB53	g__Streptococcus	g__Sutterella	g__Veillonella
g__Enterococcus	0.0885824702141763	0.0854707944825729	-0.163236335234942	0.0972319560304946	-0.0680398501185653	-0.0367590593991817	0.249875608454552	-0.0335724565406321	-0.0268549988298532	0.0374009027022983	-0.0468239235456515	-0.0983693788595807	0.161188486906281	-0.192677665855011	0.252744142774045	-0.0123123948604695	-0.0336524112715235	-0.106659339606012	-0.294322389298184	0.0241428998400015	0.10626350186806	-0.0928067743264017	0.125705770411357	1	0.20469168629899	0.018778897841436	-0.0883374722919127	-0.0604624496209885	-0.169660703428388	0.0174815979537387	0.0161791148724259	0.0200506961265208	-0.146950470727208	-0.0421936928828792	0.0754476215820102	0.0908133533537299	0.185852571142504	-0.201697385238872	-0.0693940215315556	-0.364438709240605	0.214563293443516	0.0956953012943826	0.178583340025414	-0.0657835765288022	-0.130315931851039	-0.0947920791736466	0.21471853053898	-0.134554093240349	-0.00304249596643305	0.0902964168416936	0.0888274948427298	0.0215771654835526	0.117501642069278	0.141318833454641	-0.183849141895824	0.11132225109601	-0.316721677602294	0.079774368949831	-0.0287730805440427
g__Eubacterium	-0.072912086720085	-0.0309669250146603	0.0897311464098908	-0.183541758481566	-0.197929057806971	0.0967432470791194	0.138548358412287	0.129537562245243	-0.0423341186469861	-0.154634239649362	-0.0571940486751523	-0.0472594191032379	0.124863628343457	-0.345815024307497	0.365003279369714	0.0311729214193803	0.120717478561507	-0.0075760004956786	-0.499829741541465	0.46065095800427	-0.0120004526061188	0.227157008232076	0.154519403587273	0.20469168629899	1	0.161972542054476	0.0779363851298316	-0.101453744110583	-0.261774971780843	0.205519674956968	0.118249823042846	0.0237445312027734	0.0835572534236114	0.269282820186927	0.125997812678524	0.0315443444853706	-0.19839401219563	-0.269766022535156	0.110373440539233	0.0839363491829255	0.0761483504603956	0.309395074718267	-0.110339096638052	-0.0764978894696492	0.0418390838479065	-0.139084447979123	-0.0341185863441285	-0.0730119081243461	-0.0379384843130433	0.0706129076696076	0.136392062280663	0.152737161625957	0.0177391481599864	0.0810619592391164	0.0828082159346636	0.020560599279518	-0.312348443938913	0.241562364573016	-0.197574201510876
g__Faecalibacterium	-0.185459083641482	0.166670911415067	-0.0242277384485364	0.269127250732923	-0.418325615023149	0.109719673899731	0.065338755911567	0.116766822685581	-0.184805702424759	-0.306691214806783	-0.330018273181094	0.197760661861283	0.0602761254336728	-0.210710671878027	0.081328865256832	0.439697035013961	0.304938619481479	-0.0150536167931306	0.109124980562431	0.0541235227477232	-0.18464990553829	-0.000396850438844729	0.176375520759691	0.018778897841436	0.161972542054476	1	-0.0044118083462493	0.104436507575139	0.161400990884798	0.14998077824477	-0.0668373029614373	0.0439325051557174	0.0401078599140703	0.0650688106592178	-0.158978987222457	-0.461349712405377	-0.363201725760461	0.0273256764582474	0.0345474893113453	0.522773026013975	-0.334684483707754	0.00124396291056101	0.0452738326671295	-0.00727657128740991	0.0576730709224303	0.176627644054717	-0.236220617751718	-0.0326513600167204	-0.182383520355701	-0.126636960198886	0.113480315296009	0.154421656619905	0.213795742581475	0.0702479535803308	0.0798099931138827	0.263797707217432	-0.259886909440796	0.111130576605537	-0.0548183522457337
g__Fusobacterium	-0.0403185196876495	0.173352045745075	0.175105160456411	-0.0982772867005184	0.0574103778722775	0.0873964519549514	0.0272477041976357	0.214881189074679	0.00994040608615268	-0.0939268900478863	-0.09164864593091	-0.0239754229898558	0.041142377121934	0.493097398023573	-0.187552719606686	-0.201917247464024	-0.15227247883556	-0.269412708551331	0.230007123705939	0.181823848323695	0.181920648865885	-0.236805478841509	0.059790666262675	-0.0883374722919127	0.0779363851298316	-0.0044118083462493	1	-0.421169343174998	-0.0881510230763454	0.181948422341202	-0.290387514303233	-0.34353291837018	0.184415894727298	-0.0499271173732096	0.206909967608264	0.194203859473345	0.208732208915209	-0.276921895111609	-0.0307761665248064	0.215116177790958	-0.115858849096463	-0.0800449337060128	-0.122763811729162	0.17001672487391	0.625551178712115	-0.0994136234173825	0.0975669082504264	0.184902565183057	0.113779291302882	-0.00340226393860676	-0.236590779178095	-0.0129842883789988	-0.0160733591673161	0.221188394970907	-0.259287730362708	-0.225678338706137	0.0262187931554823	0.311651336165801	-0.0365967866256181
g__Haemophilus	0.114471902983593	0.148304894207027	0.184822158760311	0.177244455221213	-0.125148290543478	0.0800814685473911	-0.142200648946057	-0.158306184582023	-0.086610419671055	-0.0390159361626312	0.11181967207976	-0.0535955208287251	0.00283931214461679	-0.169555039844707	-0.0495510318972129	0.20339621117725	0.207687668711503	0.175150975851472	-0.02529293203315	-0.221161727370095	-0.281691762775295	0.0645200205193862	0.12488438026369	-0.0604624496209885	-0.101453744110583	0.104436507575139	-0.421169343174998	1	0.337001231869814	-0.0596532041869797	0.189591847466624	0.280062257231669	-0.0823036786894037	-0.116001652236133	-0.0196438605638806	-0.156647419335866	-0.228236077880735	0.293724098136739	0.102801048818166	0.132255505889554	-0.092453631036421	0.145306652257	0.308347301855351	0.179675941404263	-0.224585889815642	0.221066680832635	-0.304808807706946	-0.0778777072614251	-0.219486202386111	-0.0662916690994697	0.03307252224248	-0.0630904460418384	0.0334191315104879	-0.117063194305583	0.266436768494087	0.062059959759293	0.0100036987490787	-0.125696074132922	0.202803864905588
g__Jonquetella	0.356876878936114	0.00681206435979922	0.0755111497474127	0.110228060330549	-0.299830577131057	-0.142677415071185	-0.334528131816776	0.0272016273142498	-0.0911879734743433	-0.140699002743542	-0.0695032078311346	0.0927161003317214	-0.234566691307973	0.248212893390677	0.00188565242422177	0.139417290710407	0.00533766829094344	0.0373618059665268	0.301973543135307	-0.192655857969315	0.0507139200150672	0.0503009328801997	0.107942825111367	-0.169660703428388	-0.261774971780843	0.161400990884798	-0.0881510230763454	0.337001231869814	1	-0.0685979978982181	0.0274558124537203	-0.211680320302228	-0.157845044527058	0.153755513540083	-0.116796369650578	-0.116496484938837	0.0216610267371824	0.0781173907647563	-0.0284264878076208	0.0417814377226889	0.025122585718595	-0.0193636273733811	0.0420428900849974	0.0540556330014705	-0.113811527291392	0.0907960070279839	-0.167572960572742	0.109812415222669	-0.249613250500333	-0.0773520010036829	-0.0942279742013041	0.0551920361627442	0.095142670375688	-0.0381518862976313	0.261760407472289	0.259562682674583	0.0433341007444141	-0.0909335159153751	0.122260179150476
g__Lachnobacterium	0.0474426551030416	-0.22451008873154	-0.0429756276546265	0.0863653122590996	-0.386161429347656	-0.0603191029182977	0.303304444804074	0.00779121245911997	0.0367073759050799	-0.0879710455254056	-0.0852468540952294	-0.116469085101552	0.0100754023752431	-0.0238489165043417	0.435421177581236	-0.0276721711703195	0.257056350280553	0.0544644993966543	-0.227274336875472	0.230058101918548	-0.0152426330857697	0.0416171878448166	-0.0625713239545918	0.0174815979537387	0.205519674956968	0.14998077824477	0.181948422341202	-0.0596532041869797	-0.0685979978982181	1	0.0877163147843302	0.0024801250083916	0.0197901980759379	0.134392531881528	-0.0131016211655662	0.0236686016177002	-0.228792098134345	-0.26102254010135	0.0642107763046721	-0.0417596815847485	-0.227253198308174	-0.0719816210802088	-0.252054717173676	-0.0899319602218015	0.198053661878151	0.0432811994871915	-0.114103377256383	-0.0354440387979565	-0.0820002834141393	0.0162358832000998	-0.0764009292453236	0.147322602746946	0.0766184366537062	-0.131602364193118	-0.0212711794909397	0.110902213860396	0.0493201930827292	0.342242635809577	-0.252106806672754
g__Lachnospira	0.195856160787903	-0.0464000729951531	-0.164672193482659	-0.0110145292246365	0.0562097886486773	-0.25528744047507	0.330783622533117	0.0706101896452726	0.15489479767697	0.258098922277925	0.0750170013743545	-0.0842625932460844	-0.208003468676703	-0.0888696843848387	0.126691984470072	0.14340577713613	0.444632090814338	0.223062224270683	-0.414545957837492	-0.061597150058868	-0.0371259473393953	0.273641323082735	-0.162770221779981	0.0161791148724259	0.118249823042846	-0.0668373029614373	-0.290387514303233	0.189591847466624	0.0274558124537203	0.0877163147843302	1	0.179079574195293	0.0381678155461433	0.138452466568981	-0.119038201184947	-0.120275423965527	-0.0781834723387562	0.0318631554772222	0.195174388713791	-0.158346211728829	-0.118966794202095	0.161894714041823	0.036903582992341	0.149105104340536	-0.22509982562897	0.113972774142904	-0.234709150346269	-0.0940136989501127	-0.159180003097121	-0.191424927051601	0.0363811694827505	0.232961792965349	-0.0171219948766683	-0.483015011725941	0.102665868087658	-0.0539749134639523	0.0503467815224937	0.0995117434733063	0.0224037978367665
g__Lactobacillus	-0.00761202706837413	0.0757420034019833	-0.117593971736387	-0.0818234698217281	0.0995907517237546	-0.000389014200759763	0.027222035630303	-0.0870341426733346	-0.124402822257102	0.0659161538023811	0.0938193389747678	0.0095998178413908	0.276947543304124	-0.363529184077234	0.023016374308298	-0.0447407273761245	0.073616951880724	0.0339756076507137	-0.0825643414978217	-0.199650422517045	-0.442994470239699	-0.0356020278903209	-0.00568957368624728	0.0200506961265208	0.0237445312027734	0.0439325051557174	-0.34353291837018	0.280062257231669	-0.211680320302228	0.0024801250083916	0.179079574195293	1	0.0153705211367149	0.0403554070393868	0.0373922172766522	-0.0708247357273055	-0.00946646745454603	0.259227441994685	-0.0216652344341739	0.0573437488283123	-0.14747120609097	-0.136035583006296	-0.106190359583093	-0.000713994888620045	-0.144352074636794	0.158483590491814	0.0351435957096779	-0.20939534504368	0.205181674046103	0.185165797832844	0.323549249255686	-0.104850201572622	0.0306605244275576	-0.00669347886586101	0.0916170753521134	0.0662939461869249	0.274305880045294	-0.1404774595391	0.226916587906231
g__Megamonas	0.111839938050532	-0.0834804974337607	-0.221198066127948	-0.0514166778699276	-0.072046763917173	0.148206845132203	0.225861953353716	-0.153523200854031	-0.058308807270963	-0.090073805001895	-0.355767789132324	-0.0348761227474136	-0.058783813105883	0.0278532649444493	-0.171932449151461	-0.214787774225027	0.242733183426251	-0.0168678725143102	0.0285556692733188	0.220652453624205	0.0931879066110714	0.0871374893854175	0.198090372308094	-0.146950470727208	0.0835572534236114	0.0401078599140703	0.184415894727298	-0.0823036786894037	-0.157845044527058	0.0197901980759379	0.0381678155461433	0.0153705211367149	1	0.0439481088492973	0.0349896516482518	0.132892744431881	-0.14250089441157	0.0711470237366977	0.0303082158497768	-0.0202496757637958	-0.301039094417923	-0.058203060494012	0.00333396799788166	0.0704714599987958	0.386426393671708	-0.0725288019894419	0.0057004888395389	-0.118734954869097	-0.101065947063228	-0.0827538446002164	-0.197727843871776	0.125229713335857	0.218024130537041	-0.0118862682726859	0.0813963303457774	0.123546213834782	-0.104993747223495	0.322995291729247	-0.113390683786856
g__Megasphaera	-0.0728417449128772	-0.450357046367474	-0.147775360803117	-0.161723063370647	-0.439916671334932	-0.0633794980808355	0.0819068644750461	0.140359170062239	0.013960647815207	0.184784192422162	-0.128508123385945	0.0428957615404356	-0.269844037863905	-0.129090335357774	0.429875445537632	0.0956189566383004	0.152105886548568	-0.0234752787417499	-0.274378511343071	0.0490670468545324	0.0958043686499593	0.0391972936952357	0.0142576237460217	-0.0421936928828792	0.269282820186927	0.0650688106592178	-0.0499271173732096	-0.116001652236133	0.153755513540083	0.134392531881528	0.138452466568981	0.0403554070393868	0.0439481088492973	1	-0.252449405765301	0.0556406626882888	0.0766179483380141	-0.0966032600596383	0.45814069789731	0.021604769735958	0.082130114381068	0.00971261331255507	-0.098603719641276	-0.13477740573196	-0.163514817779947	-0.027576839546075	-0.151044564917706	-0.141602514489598	-0.260738895993071	0.0345847044086488	0.166172439371098	0.0631411880262241	0.0791558441362938	-0.15501459484505	0.37308962691944	0.342376776653759	-0.175924409088853	0.257084905730139	-0.0941377912710422
g__Methylobacterium	0.195118509252881	0.543830088056831	-0.22739749932511	-0.346141418302738	0.191954531850236	-0.172560205062361	0.0491908661436359	-0.33121605504383	0.0562001254444892	-0.0995249162518739	0.447357045450834	0.0272683563378349	0.319389348357357	0.0740736763764939	-0.193382623664739	-0.131703501427299	-0.199600552594546	-0.0168894115654795	0.199348042166866	-0.0558687670170645	0.0236451476438387	-0.0122097537707904	-0.159580031684109	0.0754476215820102	0.125997812678524	-0.158978987222457	0.206909967608264	-0.0196438605638806	-0.116796369650578	-0.0131016211655662	-0.119038201184947	0.0373922172766522	0.0349896516482518	-0.252449405765301	1	-0.0402096454481947	0.107921620586375	0.0558848083544583	-0.239131229609553	-0.0794113410029534	-0.062659008487682	-0.134222063398884	0.0367493454537106	-0.112566527459797	0.167970421409759	-0.124977480006093	0.439454945788744	0.135574931213956	0.404334736806127	0.165929871206142	0.0303842251781341	-0.13256126889932	-0.422305459869726	0.275052604872475	-0.22699749966111	-0.234109699909327	-0.0323509668860752	0.0825882210958777	-0.0624868317571599
g__Micrococcus	0.189124536207988	-0.240637528036152	0.142895097420802	0.0631293619216273	0.140324974389083	0.030755907987504	-0.197383403223402	-0.128083290545259	0.0767517616482493	0.230055375308722	-0.0440262998874803	-0.0465485625711563	0.108904943299933	0.204077579988996	0.238013478083576	-0.551305653589811	-0.0788728495277664	0.0190285310576399	-0.0804081906290157	0.213963949817523	0.215973174946978	-0.172737864907087	-0.0515685230118499	0.0908133533537299	0.0315443444853706	-0.461349712405377	0.194203859473345	-0.156647419335866	-0.116496484938837	0.0236686016177002	-0.120275423965527	-0.0708247357273055	0.132892744431881	0.0556406626882888	-0.0402096454481947	1	0.32235831912916	-0.183824312740187	0.0463816231823087	-0.277483018388073	0.229660378203245	-0.192603939630702	-0.168049460664047	0.00233603201300362	0.388647637372841	-0.158954927082121	0.201962872448018	-0.115917835261963	0.101563785546127	0.107319482514363	0.0534535437021998	-0.167543906354278	-0.0480105054704361	0.132238766662219	0.146046695751351	-0.0550277248835559	0.323280475239219	0.0142066391839243	-0.148418610671032
g__Mobiluncus	0.141081635626031	-0.0535361310756918	-0.012578242033863	-0.0984121089131968	0.0549659187576596	0.0673726832251611	-0.205429967843563	0.14869212174255	0.000701721649496276	0.117125820263022	0.0593469600075487	0.318690649738722	0.0709803610521357	0.166356810103844	-0.154752221848844	-0.24190434232826	-0.193717921415091	-0.161508999294318	0.0742945550290516	-0.222753342407403	-0.00211380199875272	-0.160823723826878	0.217493720038264	0.185852571142504	-0.19839401219563	-0.363201725760461	0.208732208915209	-0.228236077880735	0.0216610267371824	-0.228792098134345	-0.0781834723387562	-0.00946646745454603	-0.14250089441157	0.0766179483380141	0.107921620586375	0.32235831912916	1	-0.193018676084827	-0.0809101965711234	-0.194495326455126	0.0994169910862151	-0.41818432628321	0.132976972110237	-0.107808877197909	0.0327853251576766	-0.135856515322218	0.231862931913847	0.145950604160695	0.162012856623491	0.275096929781388	0.193195717088453	-0.178505565870263	-0.00303537643746725	0.373406021482875	-0.14162180581197	0.0634547385768712	0.0547465516755939	-0.341111854689509	-0.0412607957048289
