	SRR1562318	SRR1562312	SRR1562300	SRR1562314	SRR1562316	SRR1562326	SRR1562290	SRR1562311	SRR1562288	SRR1562303	SRR1562302	SRR1562305	SRR1562293	SRR1562307	SRR1562309	SRR1562322	SRR1562323	SRR1562328	SRR1562292	SRR1562320	SRR1562289
g__Parabacteroides	9900.99009900988	0	13679.8905608755	5489.47849954254	0	5532.50345781468	33149.1712707182	3448.27586206896	0	4415.0110375276	3610.10830324909	7590.13282732448	36553.5248041776	6289.30817610064	19269.1029900332	17679.5580110497	4598.66220735786	0	0	0	0
g__Paraprevotella	0	0	0	0	0	0	690.607734806629	0	0	735.835172921267	0	0	0	0	0	1104.97237569061	418.060200668897	0	0	0	0
g__Phascolarctobacterium	0	0	0	3202.19579139982	0	0	27624.3093922653	0	0	22075.0551876379	0	0	0	0	5980.06644518272	0	0	0	0	0	0
g__Phyllobacterium	0	0	0	0	0	16597.510373444	0	5172.41379310345	0	0	0	0	0	26205.4507337527	0	0	0	1910.82802547771	16853.9325842696	0	0
g__Prevotella	3494.46709376819	533.617929562432	132010.943912449	26075.0228728271	5170.63081695966	2766.25172890733	0	584482.75862069	1177.85630153121	735.835172921267	196750.902527076	1897.53320683112	0	0	0	6629.83425414363	11705.6856187291	636.942675159235	0	0	0
g__Propionibacterium	0	0	683.994528043776	0	0	26279.3914246197	0	0	0	0	7220.2166064982	0	0	0	6644.51827242525	0	29682.2742474916	21019.1082802548	11235.9550561798	0	0
g__Pseudomonas	0	23479.1889007471	0	0	2068.25232678387	5532.50345781468	0	0	7067.13780918728	2943.34069168507	3610.10830324909	0	62663.1853785901	14675.0524109015	664.451827242525	132596.685082873	2090.30100334449	12101.9108280255	39325.8426966292	8223.68421052632	30048.0769230769
g__Ralstonia	0	0	0	0	0	150760.719225449	0	0	0	0	0	0	0	0	7308.97009966777	0	0	636.942675159235	0	0	0
g__Roseburia	56493.8846825859	0	683.994528043776	2744.73924977127	15511.892450879	0	10359.1160220995	0	5889.28150765606	27961.7365710082	12635.3790613719	15180.265654649	0	0	0	0	9615.38461538462	5095.54140127388	0	0	0
g__Ruminococcus	227140.361094933	72572.0384204911	10943.9124487004	18755.7182067703	84798.3453981385	2766.25172890733	19337.0165745857	10344.8275862069	28268.5512367492	13980.8682855041	12635.3790613719	68311.1954459203	110966.057441253	14675.0524109015	102325.581395349	11049.7237569061	8779.26421404683	215923.566878981	11235.9550561798	0	6009.6153846154
g__Salmonella	0	42155.8164354322	0	0	0	66390.0414937759	0	0	0	735.835172921267	1805.05415162455	39848.1973434536	0	1048.21802935011	9302.32558139535	15469.6132596685	0	1910.82802547771	353932.584269663	0	0
g__Streptococcus	1747.2335468841	0	683.994528043776	40713.6322049406	5170.63081695966	44260.0276625173	0	12068.9655172414	9422.8504122497	0	1805.05415162455	0	0	0	3322.25913621262	0	3762.54180602007	8917.1974522293	39325.8426966292	0	0
g__Sutterella	0	0	0	914.913083257091	0	0	122928.17679558	0	0	61074.3193524652	115523.465703971	0	0	1048.21802935011	457807.3089701	0	0	27388.5350318471	0	0	0
g__Veillonella	1164.8223645894	0	0	14638.6093321134	0	8298.75518672198	0	0	0	735.835172921267	3610.10830324909	0	1305.48302872063	0	0	0	0	22929.9363057325	28089.8876404494	0	359375.000000001
g__Weissella	0	0	0	0	0	1383.12586445367	0	0	0	0	3610.10830324909	0	0	0	0	0	836.120401337793	0	0	0	0
