	SRR2672238	SRR2672239	SRR2672242	SRR2672244	SRR2672255	SRR2672260	SRR2672261	SRR2672262	SRR2672263	SRR2672243	SRR2672257	SRR2672259	SRR2672235	SRR2672237	SRR2672240	SRR2672264	SRR2672236	SRR2672241	SRR2672258	SRR2672256
g__Enterococcus	0	535.551637732544	0	0	0	0	7.54879351407661	0	0	0	0	39.5113759836686	9.20923379174852	0	0	22.6300663060943	634.306944150784	387.567444334676	0	0
g__Epulopiscium	0	0	36.1586279005999	1.68942319713203	6.01077130217349	99.66703826476	0	0	75.6471267845845	11.9151344548454	0	0	24.5579567779961	13.5546484698738	0	0	303133.994105692	306649.441446919	37.6167125680124	0
g__Erwinia	1624.7198110511	15.6365441673736	0	1.68942319713203	0	0	0	0	268.203449508981	1.48939180685567	0	0	46.0461689587426	0	0	0	34.5201058041243	0	0	0
g__Escherichia	8755.43453733093	2986.57993596835	662.908178177665	43.9250031254329	28.0502660768096	1288.28875386671	52.8415545985363	5.6564765242083	256.74176363253	1.48939180685567	309.905631552758	15.36553510476	138.138506876228	1.93637835283911	72.9058522985758	452.601326121886	1678.54014472555	1497.07424576335	120.910861825754	327.144724464173
g__Eubacterium	1714.98202277616	0	6.02643798343332	351.400025003463	122.219016477528	3658.14944149545	471.799594629788	446.861645412456	261.32643798311	393.199437009897	115.669003326029	13.1704586612229	6.13948919449901	379.530157156467	87.4870227582908	101.835298377424	44051.9700192881	42685.6144083896	2103.84899576812	11.6318124253928
g__Faecalibacterium	5445.82010741203	516.005957523328	0	2436.1482502644	192.344681669552	173.494474016434	2551.4922077579	2596.32272461161	1918.68621571809	437.881191215567	2.18243402501942	3722.84964823899	343.811394891945	3.87275670567824	16890.8278605341	3745.2759736586	306.365939011603	315.373508625275	2998.5893732787	1615.36795057643
g__Finegoldia	0	645.00744690416	0	6.75769278852814	0	3.6913717875837	15.0975870281533	0	0	0	13.0946041501165	39.5113759836686	9.20923379174852	0	8.74870227582908	0	107.875330637889	45.5961699217265	0	0
g__Flavobacterium	1985.76865795135	35.1822243765904	0	0	0	0	3.77439675703831	0	0	0	0	0	0	0	0	0	0	0	94.0417814200308	0
g__Friedmanniella	1654.80721495945	371.367923975122	42.1850658840333	1.68942319713203	0	0	0	0	0	0	0	4.39015288707428	0	0	0	0	0	0	0	0
g__Frigoribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6300663060943	4.31501322551553	98.7917014970741	0	0
g__Fusobacterium	1609.67610909693	2685.57646074642	9.03965697514998	577.782733419155	0	14.7654871503348	0	0	279.665135385434	0	0	0	58.3251473477406	0	157.476640964924	0	159.655489344075	167.185956379664	0	2401.96926584362
g__Gardnerella	1053.05913679238	250.184706677977	0	0	2.00359043405783	0	0	0	0	0	4.36486805003884	4.39015288707428	0	3.87275670567824	0	0	0	0	0	0
